Step:0	 mouse A(0,1,1) dir=0	 mouse B(1,99,99) dir=0
Step:1	 mouse A(0,2,1) dir=0	 mouse B(1,98,99) dir=0
Step:2	 mouse A(0,3,1) dir=0	 mouse B(1,97,99) dir=0
Step:3	 mouse A(0,4,1) dir=0	 mouse B(1,96,99) dir=0
Step:4	 mouse A(0,5,1) dir=0	 mouse B(1,95,99) dir=0
Step:5	 mouse A(0,5,2) dir=0	 mouse B(1,94,99) dir=0
Step:6	 mouse A(0,5,3) dir=0	 mouse B(1,93,99) dir=0
Step:7	 mouse A(0,5,4) dir=0	 mouse B(1,93,98) dir=0
Step:8	 mouse A(0,5,5) dir=0	 mouse B(1,93,97) dir=0
Step:9	 mouse A(0,4,5) dir=0	 mouse B(1,94,97) dir=0
Step:10	 mouse A(0,3,5) dir=0	 mouse B(1,95,97) dir=0
Step:11	 mouse A(0,2,5) dir=0	 mouse B(1,96,97) dir=0
Step:12	 mouse A(0,1,5) dir=0	 mouse B(1,97,97) dir=0
Step:13	 mouse A(0,1,6) dir=0	 mouse B(1,98,97) dir=0
Step:14	 mouse A(0,1,7) dir=0	 mouse B(1,99,97) dir=0
Step:15	 mouse A(0,1,8) dir=0	 mouse B(1,99,96) dir=0
Step:16	 mouse A(0,1,9) dir=0	 mouse B(1,99,95) dir=0
Step:17	 mouse A(0,1,10) dir=0	 mouse B(1,99,94) dir=0
Step:18	 mouse A(0,1,11) dir=0	 mouse B(1,99,93) dir=0
Step:19	 mouse A(0,2,11) dir=0	 mouse B(1,98,93) dir=0
Step:20	 mouse A(0,3,11) dir=0	 mouse B(1,97,93) dir=0
Step:21	 mouse A(0,3,12) dir=0	 mouse B(1,96,93) dir=0
Step:22	 mouse A(0,3,13) dir=0	 mouse B(1,95,93) dir=0
Step:23	 mouse A(0,2,13) dir=0	 mouse B(1,95,92) dir=0
Step:24	 mouse A(0,1,13) dir=0	 mouse B(1,95,91) dir=0
Step:25	 mouse A(0,1,14) dir=0	 mouse B(1,94,91) dir=0
Step:26	 mouse A(0,1,15) dir=0	 mouse B(1,93,91) dir=0
Step:27	 mouse A(0,1,16) dir=0	 mouse B(1,93,92) dir=0
Step:28	 mouse A(0,1,17) dir=0	 mouse B(1,93,93) dir=0
Step:29	 mouse A(0,1,18) dir=0	 mouse B(1,92,93) dir=0
Step:30	 mouse A(0,1,19) dir=0	 mouse B(1,91,93) dir=0
Step:31	 mouse A(0,1,20) dir=0	 mouse B(1,91,92) dir=0
Step:32	 mouse A(0,1,21) dir=0	 mouse B(1,91,91) dir=0
Step:33	 mouse A(0,2,21) dir=0	 mouse B(1,91,90) dir=0
Step:34	 mouse A(0,3,21) dir=0	 mouse B(1,91,89) dir=0
Step:35	 mouse A(0,3,22) dir=0	 mouse B(1,92,89) dir=0
Step:36	 mouse A(0,3,23) dir=0	 mouse B(1,93,89) dir=0
Step:37	 mouse A(0,2,23) dir=0	 mouse B(1,92,89) dir=1
Step:38	 mouse A(0,1,23) dir=0	 mouse B(1,91,89) dir=1
Step:39	 mouse A(0,1,24) dir=0	 mouse B(1,91,90) dir=1
Step:40	 mouse A(0,1,25) dir=0	 mouse B(1,91,91) dir=1
Step:41	 mouse A(0,2,25) dir=0	 mouse B(1,91,92) dir=1
Step:42	 mouse A(0,3,25) dir=0	 mouse B(1,91,93) dir=1
Step:43	 mouse A(0,4,25) dir=0	 mouse B(1,92,93) dir=1
Step:44	 mouse A(0,5,25) dir=0	 mouse B(1,93,93) dir=1
Step:45	 mouse A(0,5,26) dir=0	 mouse B(1,93,92) dir=1
Step:46	 mouse A(0,5,27) dir=0	 mouse B(1,93,91) dir=1
Step:47	 mouse A(0,4,27) dir=0	 mouse B(1,94,91) dir=1
Step:48	 mouse A(0,3,27) dir=0	 mouse B(1,95,91) dir=1
Step:49	 mouse A(0,2,27) dir=0	 mouse B(1,95,92) dir=1
Step:50	 mouse A(0,1,27) dir=0	 mouse B(1,95,93) dir=1
Step:51	 mouse A(0,1,28) dir=0	 mouse B(1,96,93) dir=1
Step:52	 mouse A(0,1,29) dir=0	 mouse B(1,97,93) dir=1
Step:53	 mouse A(0,1,30) dir=0	 mouse B(1,98,93) dir=1
Step:54	 mouse A(0,1,31) dir=0	 mouse B(1,99,93) dir=1
Step:55	 mouse A(0,2,31) dir=0	 mouse B(1,99,94) dir=1
Step:56	 mouse A(0,3,31) dir=0	 mouse B(1,99,95) dir=1
Step:57	 mouse A(0,4,31) dir=0	 mouse B(1,98,95) dir=0
