Step:0	 mouse A(0,1,1)	 mouse B(1,99,99)
Step:1	 mouse A(0,2,1)	 mouse B(1,98,99)
Step:2	 mouse A(0,3,1)	 mouse B(1,97,99)
Step:3	 mouse A(0,4,1)	 mouse B(1,97,98)
Step:4	 mouse A(0,5,1)	 mouse B(1,97,97)
Step:5	 mouse A(0,5,2)	 mouse B(1,98,97)
Step:6	 mouse A(0,5,3)	 mouse B(1,99,97)
Step:7	 mouse A(0,4,3)	 mouse B(1,99,96)
Step:8	 mouse A(0,3,3)	 mouse B(1,99,95)
Step:9	 mouse A(0,2,3)	 mouse B(1,99,96)
Step:10	 mouse A(0,1,3)	 mouse B(1,99,97)
Step:11	 mouse A(0,1,4)	 mouse B(1,98,97)
Step:12	 mouse A(0,1,5)	 mouse B(1,97,97)
Step:13	 mouse A(0,2,5)	 mouse B(1,97,98)
Step:14	 mouse A(0,3,5)	 mouse B(1,97,99)
Step:15	 mouse A(0,3,6)	 mouse B(1,96,99)
Step:16	 mouse A(0,3,7)	 mouse B(1,95,99)
Step:17	 mouse A(0,3,8)	 mouse B(1,95,98)
Step:18	 mouse A(0,3,9)	 mouse B(1,95,97)
Step:19	 mouse A(0,4,9)	 mouse B(1,94,97)
Step:20	 mouse A(0,5,9)	 mouse B(1,93,97)
Step:21	 mouse A(0,6,9)	 mouse B(1,92,97)
Step:22	 mouse A(0,7,9)	 mouse B(1,91,97)
Step:23	 mouse A(0,7,10)	 mouse B(1,92,97)
Step:24	 mouse A(0,7,11)	 mouse B(1,93,97)
Step:25	 mouse A(0,6,11)	 mouse B(1,93,98)
Step:26	 mouse A(0,5,11)	 mouse B(1,93,99)
Step:27	 mouse A(0,4,11)	 mouse B(1,92,99)
Step:28	 mouse A(0,3,11)	 mouse B(1,91,99)
Step:29	 mouse A(0,2,11)	 mouse B(1,90,99)
Step:30	 mouse A(0,1,11)	 mouse B(1,89,99)
Step:31	 mouse A(0,1,12)	 mouse B(1,89,98)
Step:32	 mouse A(0,1,13)	 mouse B(1,89,97)
Step:33	 mouse A(0,2,13)	 mouse B(1,89,96)
Step:34	 mouse A(0,3,13)	 mouse B(1,89,95)
Step:35	 mouse A(0,3,14)	 mouse B(1,90,95)
Step:36	 mouse A(0,3,15)	 mouse B(1,91,95)
Step:37	 mouse A(0,3,16)	 mouse B(1,91,94)
Step:38	 mouse A(0,3,17)	 mouse B(1,91,93)
Step:39	 mouse A(0,3,18)	 mouse B(1,91,92)
Step:40	 mouse A(0,3,19)	 mouse B(1,91,91)
Step:41	 mouse A(0,2,19)	 mouse B(1,91,92)
Step:42	 mouse A(0,1,19)	 mouse B(1,91,93)
Step:43	 mouse A(0,1,20)	 mouse B(1,90,93)
Step:44	 mouse A(0,1,21)	 mouse B(1,89,93)
Step:45	 mouse A(0,1,22)	 mouse B(1,89,92)
Step:46	 mouse A(0,1,23)	 mouse B(1,89,91)
Step:47	 mouse A(0,2,23)	 mouse B(1,88,91)
Step:48	 mouse A(0,3,23)	 mouse B(1,87,91)
Step:49	 mouse A(0,4,23)	 mouse B(1,87,90)
Step:50	 mouse A(0,5,23)	 mouse B(1,87,89)
Step:51	 mouse A(0,6,23)	 mouse B(1,87,88)
Step:52	 mouse A(0,7,23)	 mouse B(1,87,87)
Step:53	 mouse A(0,7,22)	 mouse B(1,88,87)
Step:54	 mouse A(0,7,21)	 mouse B(1,89,87)
Step:55	 mouse A(0,8,21)	 mouse B(1,90,87)
Step:56	 mouse A(0,9,21)	 mouse B(1,91,87)
Step:57	 mouse A(0,9,22)	 mouse B(1,92,87)
Step:58	 mouse A(0,9,23)	 mouse B(1,93,87)
Step:59	 mouse A(0,9,24)	 mouse B(1,93,86)
Step:60	 mouse A(0,9,25)	 mouse B(1,93,85)
Step:61	 mouse A(0,8,25)	 mouse B(1,92,85)
Step:62	 mouse A(0,7,25)	 mouse B(1,91,85)
Step:63	 mouse A(0,6,25)	 mouse B(1,91,84)
Step:64	 mouse A(0,5,25)	 mouse B(1,91,83)
Step:65	 mouse A(0,4,25)	 mouse B(1,90,83)
Step:66	 mouse A(0,3,25)	 mouse B(1,89,83)
Step:67	 mouse A(0,2,25)	 mouse B(1,89,84)
Step:68	 mouse A(0,1,25)	 mouse B(1,89,85)
Step:69	 mouse A(0,1,26)	 mouse B(1,89,84)
Step:70	 mouse A(0,1,27)	 mouse B(1,89,83)
Step:71	 mouse A(0,1,28)	 mouse B(1,90,83)
Step:72	 mouse A(0,1,29)	 mouse B(1,91,83)
Step:73	 mouse A(0,2,29)	 mouse B(1,92,83)
Step:74	 mouse A(0,3,29)	 mouse B(1,93,83)
Step:75	 mouse A(0,3,30)	 mouse B(1,94,83)
Step:76	 mouse A(0,3,31)	 mouse B(1,95,83)
Step:77	 mouse A(0,2,31)	 mouse B(1,94,83)
Step:78	 mouse A(0,1,31)	 mouse B(1,93,83)
Step:79	 mouse A(0,1,32)	 mouse B(1,92,83)
Step:80	 mouse A(0,1,33)	 mouse B(1,91,83)
Step:81	 mouse A(0,1,34)	 mouse B(1,91,84)
Step:82	 mouse A(0,1,35)	 mouse B(1,91,85)
Step:83	 mouse A(0,2,35)	 mouse B(1,92,85)
Step:84	 mouse A(0,3,35)	 mouse B(1,93,85)
Step:85	 mouse A(0,4,35)	 mouse B(1,93,86)
Step:86	 mouse A(0,5,35)	 mouse B(1,93,87)
Step:87	 mouse A(0,6,35)	 mouse B(1,92,87)
Step:88	 mouse A(0,7,35)	 mouse B(1,91,87)
Step:89	 mouse A(0,7,36)	 mouse B(1,90,87)
Step:90	 mouse A(0,7,37)	 mouse B(1,89,87)
Step:91	 mouse A(0,8,37)	 mouse B(1,88,87)
Step:92	 mouse A(0,9,37)	 mouse B(1,87,87)
Step:93	 mouse A(0,9,36)	 mouse B(1,87,88)
Step:94	 mouse A(0,9,35)	 mouse B(1,87,89)
Step:95	 mouse A(0,9,34)	 mouse B(1,88,89)
Step:96	 mouse A(0,9,33)	 mouse B(1,89,89)
Step:97	 mouse A(0,10,33)	 mouse B(1,90,89)
Step:98	 mouse A(0,11,33)	 mouse B(1,91,89)
Step:99	 mouse A(0,11,32)	 mouse B(1,92,89)
Step:100	 mouse A(0,11,31)	 mouse B(1,93,89)
Step:101	 mouse A(0,12,31)	 mouse B(1,94,89)
Step:102	 mouse A(0,13,31)	 mouse B(1,95,89)
Step:103	 mouse A(0,14,31)	 mouse B(1,96,89)
